Day,A,B,C
1,17,25,51
2,17,26,52
3,17,26,53
4,18,27,54
5,18,27,55
6,18,28,56
7,19,28,57
8,19,29,58
9,19,29,59
10,20,30,60
11,20,30,61
12,20,31,62
13,21,31,63
14,21,32,64
15,21,32,65
16,22,33,66
17,22,33,67
18,23,34,69
19,23,35,70
20,23,35,71
21,24,36,72
22,24,36,73
23,24,37,74
24,25,37,75
25,25,38,76
26,25,38,77
27,26,39,78
28,26,39,79
29,27,40,81
30,27,41,82
31,27,41,83
32,28,42,84
33,28,42,85
34,28,43,86
35,29,43,87
36,29,44,88
37,29,44,89
38,30,45,90
39,30,45,91
40,31,46,93
41,31,47,94
42,31,47,95
43,32,48,96
44,32,48,97
45,32,49,98
46,33,49,99
47,33,50,100
48,33,50,101
49,34,51,102
50,34,52,104
51,35,52,105
52,35,53,106
53,35,53,107
54,36,54,108
55,36,54,109
56,36,55,110
57,37,55,111
58,37,56,112
59,38,57,114
60,38,57,115
61,38,58,116
62,39,58,117
63,39,59,118
64,39,59,119
65,40,60,120
66,40,60,121
67,40,61,122
68,41,61,123
69,41,62,125
70,42,63,126
71,42,63,127
72,42,64,128
73,43,64,129
74,43,65,130
75,43,65,131
76,44,66,132
77,44,66,133
78,45,67,135
79,45,68,136
80,45,68,137
81,46,69,138
82,46,69,139
83,46,70,140
84,47,70,141
85,47,71,142
86,48,72,144
87,48,72,145
88,48,73,146
89,49,73,147
90,49,74,148
91,49,74,149
92,50,75,150
93,50,75,151
94,50,76,152
95,51,77,154
96,51,77,155
97,52,78,156
98,52,78,157
99,52,79,158
100,53,79,159
101,53,80,160
102,53,80,161
103,54,81,163
104,54,82,164
105,55,82,165
106,55,83,166
107,55,83,167
108,56,84,168
109,56,84,169
110,56,85,170
111,57,85,171
112,57,86,173
113,58,87,174
114,58,87,175
115,58,88,176
116,59,88,177
117,59,89,178
118,59,89,179
119,60,90,180
120,60,91,182
121,61,91,183
122,61,92,184
123,61,92,185
124,62,93,186
125,62,93,187
126,62,94,188
127,63,94,189
128,63,95,191
129,64,96,192
130,64,96,193
131,64,97,194
132,65,97,195
133,65,98,196
134,65,98,197
135,66,99,198
136,66,100,200
137,67,100,201
138,67,101,202
139,67,101,203
140,68,102,204
141,68,102,205
142,68,103,206
143,69,103,207
144,69,104,209
145,70,105,210
146,70,105,211
147,70,106,212
148,71,106,213
149,71,107,214
150,71,107,215
151,72,108,216
152,72,109,218
153,73,109,219
154,73,110,220
155,73,110,221
156,74,111,222
157,74,111,223
158,74,112,224
159,75,112,225
160,75,113,227
161,76,114,228
162,76,114,229
163,76,115,230
164,77,115,231
165,77,116,232
166,77,116,233
167,78,117,234
168,78,118,236
169,79,118,237
170,79,119,238
171,79,119,239
172,80,120,240
173,80,120,241
174,80,121,242
175,81,122,244
176,81,122,245
177,82,123,246
178,82,123,247
179,82,124,248
180,83,124,249
181,83,125,250
182,83,125,251
183,84,126,253
184,84,127,254
185,85,127,255
186,85,128,256
187,85,128,257
188,86,129,258
189,86,129,259
190,87,130,261
191,87,131,262
192,87,131,263
193,88,132,264
194,88,132,265
195,88,133,266
196,89,133,267
197,89,134,268
198,90,135,270
199,90,135,271
200,90,136,272
201,91,136,273
202,91,137,274
203,91,137,275
204,92,138,276
205,92,139,278
206,93,139,279
207,93,140,280
208,93,140,281
209,94,141,282
210,94,141,283
211,94,142,284
212,95,142,285
213,95,143,287
214,96,144,288
215,96,144,289
216,96,145,290
217,97,145,291
218,97,146,292
219,97,146,293
220,98,147,295
221,98,148,296
222,99,148,297
223,99,149,298
224,99,149,299
225,100,150,300
226,100,150,301
227,101,151,303
228,101,152,304
229,101,152,305
230,102,153,306
231,102,153,307
232,102,154,308
233,103,154,309
234,103,155,310
235,104,156,312
236,104,156,313
237,104,157,314
238,105,157,315
239,105,158,316
240,105,158,317
241,106,159,318
242,106,160,320
243,107,160,321
244,107,161,322
245,107,161,323
246,108,162,324
247,108,162,325
248,108,163,326
249,109,164,328
250,109,164,329
251,110,165,330
252,110,165,331
253,110,166,332
254,111,166,333
255,111,167,334
256,112,168,336
257,112,168,337
258,112,169,338
259,113,169,339
260,113,170,340
261,113,170,341
262,114,171,342
263,114,172,344
264,115,172,345
265,115,173,346
266,115,173,347
267,116,174,348
268,116,174,349
269,116,175,350
270,117,175,351
271,117,176,353
272,118,177,354
273,118,177,355
274,118,178,356
275,119,178,357
276,119,179,358
277,119,179,359
278,120,180,361
279,120,181,362
280,121,181,363
281,121,182,364
282,121,182,365
283,122,183,366
284,122,183,367
285,123,184,369
286,123,185,370
287,123,185,371
288,124,186,372
289,124,186,373
290,124,187,374
291,125,187,375
292,125,188,377
293,126,189,378
294,126,189,379
295,126,190,380
296,127,190,381
297,127,191,382
298,127,191,383
299,128,192,385
300,128,193,386
301,129,193,387
302,129,194,388
303,129,194,389
304,130,195,390
305,130,195,391
306,131,196,393
307,131,197,394
308,131,197,395
309,132,198,396
310,132,198,397
311,132,199,398
312,133,199,399
313,133,200,401
314,134,201,402
315,134,201,403
316,134,202,404
317,135,202,405
318,135,203,406
319,135,203,407
320,136,204,409
321,136,205,410
322,137,205,411
323,137,206,412
324,137,206,413
325,138,207,414
326,138,208,416
327,139,208,417
328,139,209,418
329,139,209,419
330,140,210,420
331,140,210,421
332,140,211,422
333,141,212,424
334,141,212,425
335,142,213,426
336,142,213,427
337,142,214,428
338,143,214,429
339,143,215,430
340,144,216,432
341,144,216,433
342,144,217,434
343,145,217,435
344,145,218,436
345,145,218,437
346,146,219,438
347,146,220,440
348,147,220,441
349,147,221,442
350,147,221,443
351,148,222,444
352,148,222,445
353,148,223,446
354,149,224,448
355,149,224,449
356,150,225,450
357,150,225,451
358,150,226,452
359,151,226,453
360,151,227,454
361,152,228,456
362,152,228,457
363,152,229,458
364,153,229,459
365,153,230,460
366,153,230,461
367,154,231,463
368,154,232,464
369,155,232,465
370,155,233,466
371,155,233,467
372,156,234,468
373,156,234,469
374,157,235,471
375,157,236,472
376,157,236,473
377,158,237,474
378,158,237,475
379,158,238,476
380,159,238,477
381,159,239,479
382,160,240,480
383,160,240,481
384,160,241,482
385,161,241,483
386,161,242,484
387,161,242,485
388,162,243,487
389,162,244,488
390,163,244,489
391,163,245,490
392,163,245,491
393,164,246,492
394,164,247,494
395,165,247,495
396,165,248,496
397,165,248,497
398,166,249,498
399,166,249,499
400,166,250,500
401,167,251,502
402,167,251,503
403,168,252,504
404,168,252,505
405,168,253,506
406,169,253,507
407,169,254,508
408,170,255,510
409,170,255,511
410,170,256,512
411,171,256,513
412,171,257,514
413,171,257,515
414,172,258,517
415,172,259,518
416,173,259,519
417,173,260,520
418,173,260,521
419,174,261,522
420,174,261,523
421,175,262,525
422,175,263,526
423,175,263,527
424,176,264,528
425,176,264,529
426,176,265,530
427,177,265,531
428,177,266,533
429,178,267,534
430,178,267,535
431,178,268,536
432,179,268,537
433,179,269,538
434,180,270,540
435,180,270,541
436,180,271,542
437,181,271,543
438,181,272,544
439,181,272,545
440,182,273,546
441,182,274,548
442,183,274,549
443,183,275,550
444,183,275,551
445,184,276,552
446,184,276,553
447,185,277,555
448,185,278,556
449,185,278,557
450,186,279,558
451,186,279,559
452,186,280,560
453,187,280,561
454,187,281,563
455,188,282,564
456,188,282,565
457,188,283,566
458,189,283,567
459,189,284,568
460,190,285,570
461,190,285,571
462,190,286,572
463,191,286,573
464,191,287,574
465,191,287,575
466,192,288,576
467,192,289,578
468,193,289,579
469,193,290,580
470,193,290,581
471,194,291,582
472,194,291,583
473,195,292,585
474,195,293,586
475,195,293,587
476,196,294,588
477,196,294,589
478,196,295,590
479,197,295,591
480,197,296,593
481,198,297,594
482,198,297,595
483,198,298,596
484,199,298,597
485,199,299,598
486,200,300,600
487,200,300,601
